FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Erik,Pieters,DEF,STK,4900000,6,19,1.9,3.87755102040816E-07,3.87755102040816E-06,0,30820,1,20,0,0,0,0,0,3.9,157,-1,0,19,1,0.4,0,2,0,0,2,0,0,0.6,9516,0,0,0,0,898,208,0,0,141,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,1.3,1.4,2.3,1.9,1.1,1.4,1.5,1.9,2,1.3,1.5,1.8,1,1.9,1.5,1.3,1.9,1,1.5,1.1,1.4,1,1.4,1.2,1.6,1,2.8,1.2,25.2
Paul,Pogba,MID,MUN,8000000,0,31,1.03333333333333,1.29166666666667E-07,3.875E-06,0,1594691,1,2,0,0,0,2,0,3.9,3912,0,0,31,0,0,0,0,2,0,3,0,3,8.7,854771,0,0,0,1,360,1254,0,0,100,Chelsea,Newcastle,Brighton,Watford,Arsenal,0,0.7,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.7,0.5,0.5,0.5,0.7,0.5,0.7,0.5,0.6,0.5,0.8,0.5,0.5,48.1
Nick,Pope,GLK,BUR,4500000,0,28,4.7,1.04444444444444E-06,6.22222222222222E-06,0,13169,1,5,0,29,0,0,0,6.2,551,0,0,28,0,0.9,0,4,4,0,2,0,0,1.2,64060,0,0,0,0,504,658,0,0,131,Southampton,Swansea,Arsenal,Bournemouth,Leicester,6,4.5,6.6,5.5,4.1,5.4,5.7,5.7,5.2,3.8,5.6,6.5,5.9,5.3,5.2,4.3,5.3,5.3,5.2,5.4,4.8,5.7,7,5.1,5.4,6.4,4,5.9,20.3
Sebastian,Prodl,DEF,WAT,4400000,0,12,0.4,9.09090909090909E-08,2.72727272727273E-06,0,23018,0,0,0,0,0,0,0,2.7,137,-1,0,12,1,0,0,0,0,0,2,0,0,0.2,7004,0,0,0,0,180,8,0,0,48,Everton,West Ham,Newcastle,Man Utd,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,5.3
Davy,Propper,MID,BHA,5400000,2,26,2.6,4.81481481481482E-07,4.81481481481482E-06,0,8290,1,11,0,0,0,0,0,4.8,96,-1,0,26,1,0.6,0,3,1,0,3,0,1,0.1,5489,0,0,0,0,900,52,0,0,146,Swansea,Stoke,Man Utd,Crystal Palace,Liverpool,2.5,2.4,1.3,2.9,2.7,1.7,1.6,2.5,1.6,2,1.8,2.8,1.5,1.9,2,3,1.7,2.6,3.1,2.5,1.3,2.7,2.7,1.8,1.9,2.1,2.2,1.3,31.8
Marc,Pugh,MID,BOU,4800000,1,8,0.266666666666667,5.55555555555556E-08,1.66666666666667E-06,0,4058,1,4,0,0,0,0,0,1.7,47,-2,0,8,2,0.2,0,1,0,0,1,0,0,0.1,1358,0,0,0,0,263,16,0,0,22,Newcastle,Huddersfield,Swansea,Burnley,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,18.2
Jason,Puncheon,MID,CRY,4700000,0,10,1.3,2.76595744680851E-07,2.12765957446809E-06,0,49587,4,14,0,0,0,0,0,2.1,361,-3,0,10,3,0.2,0,0.8,0,0,0,0,0,0.5,10868,0,0,0,0,549,41,0,0,36,Tottenham,Everton,Stoke,Brighton,West Brom,0.6,1.3,0.8,0.6,0.6,1,0.6,0.6,0.8,1.1,0.6,0.6,0.8,0.6,0.6,1,0.8,0.6,0.7,0.6,0.6,0.9,0.6,0.8,0.6,1,0.6,0.9,24.2
Collin,Quaner,FWD,HUD,4500000,0,7,0.233333333333333,5.18518518518518E-08,1.55555555555556E-06,0,228437,0,0,0,0,0,0,0,1.6,2057,0,0,7,0,0,0,0,0,0,0,0,1,3.4,187181,0,0,0,0,57,2179,0,0,21,West Brom,Bournemouth,Man City,Arsenal,Everton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Aaron,Ramsdale,GLK,BOU,4000000,0,0,0,0,0,0,2612,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0.2,12311,0,0,0,0,0,109,0,0,0,Newcastle,Huddersfield,Swansea,Burnley,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron,Ramsey,MID,ARS,7000000,9,48,5.3,7.57142857142857E-07,6.85714285714286E-06,0,242435,0,6,0,0,0,3,0,6.9,2485,0,0,48,0,0.9,0,6,4,0,4,0,3,5.1,393100,0,0,0,1,674,14200,0,0,178,Man City,Tottenham,Burnley,Huddersfield,Man Utd,2.6,6.3,4.6,7.9,7,4.4,3.9,8,7.9,4.1,3.5,6.4,4.6,8,5.5,8,3.7,5.3,3.3,5.8,3.8,7.3,6.7,4,8,2.6,7.5,3.8,77.7
