,Week,Mins,Goals,Assists,Clean_Sheets,Goals_Conceded,Yellow_Cards,Red_Cards,Saves,Bonus,PPI,BPS,Net_Transfers,Value,Points,serialID,ID,Name,Team,Position,Availabilty,Selection,EA_INDEX,Price
297,741,2107,0,0,6,34,4,0,0,3,201,349,-35095,159,58,298,298,Paul Dummett,NEW,DEF,100,4.7,201,4.1
298,741,0,0,0,0,0,0,0,0,0,0,0,-41,148.9,0,299,299,Lubomir Satka,NEW,DEF,,0.2,0,3.9
299,741,652,1,1,2,10,0,0,0,3,95,109,-665,165.9,31,300,300,Gabriel Obertan,NEW,MD,100,0.2,95,4.3
300,741,895,0,2,1,19,5,0,0,0,113,156,-52422,164.9,23,301,301,Cheick Tiot_,NEW,MD,100,1.1,113,4.3
301,741,383,0,0,1,5,1,0,0,0,33,39,-22681,212.7,11,302,302,Hatem Ben Arfa,NEW,MD,0,0.5,33,5.5
302,741,0,0,0,0,0,0,0,0,0,0,0,-1782,171,0,303,303,Shane Ferguson,NEW,MD,100,0,0,4.5
303,741,664,0,0,3,9,0,0,0,0,64,97,-257,165.7,22,304,304,Mehdi Abeid,NEW,MD,100,0,64,4.3
304,741,0,0,0,0,0,0,0,0,0,0,0,-31,171,0,305,305,Sylvain Marveaux,NEW,MD,0,0,0,4.5
305,741,0,0,0,0,0,0,0,0,0,0,0,-414,167.6,0,306,306,Gael Bigirimana,NEW,MD,0,0,0,4.4
306,741,1267,0,0,4,25,3,0,0,0,104,167,-2172,181.4,33,307,307,Vurnon Anita,NEW,MD,100,0.1,104,4.7
307,741,3029,4,3,8,51,7,2,0,11,454,424,-28053,221.4,103,308,308,Moussa Sissoko,NEW,MD,100,1.8,454,5.8
308,741,3128,4,7,7,61,12,0,0,8,439,600,73443,183.4,114,309,309,Jack Colback,NEW,MD,100,2.9,439,4.7
309,741,638,1,1,1,13,4,0,0,3,98,139,-1679,163.1,24,310,310,Jon‡s Guti_rrez,NEW,MD,100,0.3,98,4.2
310,741,1968,2,1,2,44,3,0,0,4,260,287,-21575,235.1,67,311,311,Yoan Gouffran,NEW,MD,100,0.5,260,6
