Name,Team,Pos,Points,Goals,Assists,Minutes,Reds,Yellows,Saves,PS,PM,Bonus,CS
Gaël Clichy,MCI,DEF,55,0,1,1087,0,0,0,0,0,9,5
Geoff Cameron,STK,DEF,63,0,0,2358,1,0,0,0,0,1,6
George Honeyman,SUN,MID,1,0,0,39,0,0,0,0,0,0,0
Georginio Wijnaldum,NEW,MID,170,11,6,3163,0,1,0,0,0,17,8
Gerard Deulofeu,EVE,MID,82,2,9,1383,0,2,0,0,0,3,3
Giannelli Imbula,STK,MID,43,2,0,1260,0,4,0,0,0,8,1
Giedrius Arlauskis,WAT,GK,1,0,0,24,0,0,0,0,0,0,0
Glen Johnson,STK,DEF,92,0,3,2184,0,1,0,0,0,9,9
Glenn Whelan,STK,MID,82,0,1,3166,0,6,0,0,0,3,9
Gnegneri Yaya Touré,MCI,MID,129,7,4,2326,0,3,0,0,0,16,13
Gouffran,NEW,MID,11,0,0,227,0,0,0,0,0,0,1
Graham,SUN,FWD,15,0,1,360,0,0,0,0,0,0,0
Grealish,AVL,MID,28,1,0,833,0,1,0,0,0,0,0
Green,AVL,MID,2,0,0,59,0,0,0,0,0,0,0
Greenwood,SUN,MID,1,0,0,51,0,0,0,0,0,0,0
Grimes,SWA,MID,3,0,0,90,0,0,0,0,0,0,1
Guillermo Varela,MUN,DEF,8,0,0,315,0,1,0,0,0,0,1
Gylfi Sigurdsson,SWA,MID,158,11,4,2914,0,6,0,0,0,21,8
Gómez,SUN,MID,11,0,0,352,0,0,0,0,0,0,1
Gökhan Inler,LEI,MID,8,0,0,194,0,0,0,0,0,0,1
Hangeland,AVL,DEF,25,0,0,630,0,2,0,0,0,2,3
Harrison Reed,SOU,MID,1,0,0,11,0,0,0,0,0,0,0
Harry Arter,BOU,MID,42,1,0,1662,0,7,0,0,0,1,4
Harry Kane,TOT,FWD,211,25,3,3363,0,5,0,0,0,33,14
Hepburn-Murphy,AVL,FWD,1,0,0,1,0,0,0,0,0,0,0
Heung-Min Son,TOT,MID,70,4,1,1107,0,0,0,0,0,11,6
Heurelho Gomes,WAT,GK,157,0,0,3396,0,4,123,3,0,14,11
Hibbert,AVL,DEF,1,0,0,45,0,0,0,0,0,0,0
Hiram Boateng,CRY,MID,1,0,0,19,0,0,0,0,0,0,0
Hoolahan,NOR,MID,113,4,9,1991,0,1,0,0,0,7,7
Hooper,NOR,FWD,2,0,0,13,0,0,0,0,0,0,0
Howson,NOR,MID,106,3,4,2951,0,7,0,0,0,12,5
Hugo Lloris,TOT,GK,140,0,0,3330,0,0,88,0,0,4,13
Hutton,AVL,DEF,31,0,1,2330,1,6,0,0,0,0,2
Héctor Bellerín,ARS,DEF,172,1,6,3240,0,3,0,0,0,18,18
