Name,Team,Pos,Points,Goals,Assists,Minutes,Reds,Yellows,Saves,PS,PM,Bonus,CS,£
Charlie Adam,STK,MID,59,1,4,1491,0,7,0,0,0,5,6,£4.6
Charlie Austin,SOU,FWD,62,6,1,934,0,1,0,0,0,10,6,£6.3
Charlie Daniels,BOU,DEF,134,4,3,3060,0,1,0,0,0,14,10,£5.2
Charlie Rowan,WAT,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Cheikhou Kouyaté,WHU,MID,79,1,1,2723,0,3,0,0,0,3,9,£5
Chris Brunt,WBA,DEF,99,3,4,2477,0,5,0,0,0,11,4,£4.8
Chris Long,BUR,FWD,0,0,0,0,0,0,0,0,0,0,0,£4.5
Chris Smalling,MUN,DEF,52,1,1,1217,0,0,0,0,0,1,4,£5.8
Christian Benteke,CRY,FWD,136,15,2,3131,0,10,0,0,2,13,7,£7.2
Christian Eriksen,TOT,MID,218,8,20,3159,0,0,0,0,0,30,16,£8.9
Christian Fuchs,LEI,DEF,104,2,4,3103,0,10,0,0,0,10,8,£5.3
Christian Kabasele,WAT,DEF,35,2,0,771,0,1,0,0,0,1,1,£4.8
Chuba Akpom,ARS,FWD,0,0,0,0,0,0,0,0,0,0,0,£5.1
Chung-yong Lee,CRY,MID,24,0,1,471,0,0,0,0,0,0,2,£4.2
Claudio Bravo,MCI,GK,73,0,0,1968,0,0,33,1,0,3,6,£5
Claudio Yacob,WBA,MID,54,0,0,2418,0,9,0,0,0,0,4,£4.3
Clinton N'Jie,TOT,FWD,0,0,0,0,0,0,0,0,0,0,0,£5.9
Connor Randall,LIV,DEF,0,0,0,0,0,0,0,0,0,0,0,£3.9
Connor Roberts,SWA,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Connor Wickham,CRY,FWD,18,2,0,412,0,1,0,0,0,0,0,£5.5
Costel Pantilimon,WAT,GK,2,0,0,83,0,0,6,0,0,0,0,£4.2
Craig Cathcart,WAT,DEF,31,0,1,1162,0,3,0,0,0,3,2,£4.3
Craig Dawson,WBA,DEF,102,4,0,3276,0,10,0,0,0,6,6,£4.9
Craig Gardner,WBA,MID,14,0,1,218,0,1,0,0,0,0,1,£5.1
Cristhian Stuani,MID,FWD,54,4,0,1355,0,4,0,0,0,4,4,£4.6
Cristian Gamboa,WBA,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Cuco Martina,SOU,DEF,31,0,0,592,0,0,0,0,0,5,3,£4.3
Curtis Davies,HUL,DEF,38,0,2,2135,0,4,0,0,0,3,1,£4.9
Cédric Soares,SOU,DEF,102,0,3,2515,0,7,0,0,0,11,11,£4.9
César Azpilicueta,CHE,DEF,170,1,5,3420,0,4,0,0,0,22,16,£6.4
Dael Fry,MID,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
