Name,Team,Pos,Points,Goals,Assists,Minutes,Reds,Yellows,Saves,PS,PM,Bonus,CS,£
Theo Walcott,ARS,MID,122,10,3,1916,0,1,0,0,1,7,8,£7.2
Thibaud Verlinden,STK,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Thibaut Courtois,CHE,GK,141,0,0,3240,0,1,69,0,0,0,16,£5.9
Thomas Edwards,STK,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Thomas Robson,SUN,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Timothy Fosu-Mensah,MUN,DEF,9,0,0,97,0,0,0,0,0,0,1,£4.1
Toby Alderweireld,TOT,DEF,120,1,0,2601,0,1,0,0,0,4,14,£6.4
Tokelo Rantie,BOU,FWD,0,0,0,0,0,0,0,0,0,0,0,£4.5
Tom Carroll,SWA,MID,52,1,2,1389,0,1,0,0,0,4,5,£4.1
Tom Cleverley,WAT,MID,55,0,3,1848,0,4,0,0,0,0,3,£5.1
Tom Davies,EVE,MID,63,2,3,1544,0,4,0,0,0,0,8,£4.4
Tom Heaton,BUR,GK,149,0,0,3150,0,1,142,1,0,21,10,£5.1
Tom Huddlestone,HUL,MID,62,1,2,2025,1,5,0,0,0,5,4,£4.5
Tommie Hoban,WAT,DEF,0,0,0,0,0,0,0,0,0,0,0,£4
Trent Alexander-Arnold,LIV,MID,8,0,0,167,0,0,0,0,0,0,0,£4.3
Troy Deeney,WAT,FWD,130,10,4,2944,0,7,0,0,0,18,6,£6.6
Tyias Browning,EVE,DEF,0,0,0,0,0,0,0,0,0,0,0,
Tyrone Mings,BOU,DEF,4,0,0,506,0,0,0,0,0,2,0,£4.5
Valon Behrami,WAT,MID,48,0,0,2030,0,7,0,0,0,0,5,£4.5
Victor Anichebe,SUN,FWD,48,3,1,1219,0,2,0,0,0,5,3,£4.3
Victor Moses,CHE,MID,105,3,3,2485,0,4,0,0,0,6,17,£5.5
Victor Wanyama,TOT,MID,103,4,2,3012,0,10,0,0,0,7,12,£4.8
Viktor Fischer,MID,MID,25,0,3,438,0,0,0,0,0,0,1,£4.9
Vincent Janssen,TOT,FWD,55,2,3,845,0,0,0,0,0,3,3,£7.5
Vincent Kompany,MCI,DEF,57,3,0,820,0,5,0,0,0,6,5,£6
Virgil van Dijk,SOU,DEF,75,1,0,1852,1,3,0,0,0,14,7,£5.6
Vito Mannone,SUN,GK,34,0,0,810,0,0,41,0,0,6,2,£4
Víctor Valdés,MID,GK,102,0,0,2520,0,1,79,0,0,10,8,£4.5
Wahbi Khazri,SUN,MID,31,1,0,849,0,6,0,0,0,3,1,£6
Wayne Hennessey,CRY,GK,92,0,0,2610,0,1,83,0,0,4,7,£4.3
Wayne Rooney,MUN,FWD,76,5,5,1540,0,8,0,0,0,9,6,£8.6
Wayne Routledge,SWA,MID,74,3,2,1917,0,1,0,0,0,2,5,£4.5
Wes Morgan,LEI,DEF,63,1,1,2430,0,3,0,0,0,0,5,£4.6
Wilfred Ndidi,LEI,MID,59,2,3,1521,0,0,0,0,0,2,4,£4.6
Wilfried Bony,STK,FWD,29,2,0,684,0,1,0,0,0,3,3,£6.9
Wilfried Zaha,CRY,MID,149,7,11,3019,0,8,0,0,0,13,7,£5.8
Will Keane,HUL,FWD,8,0,0,280,0,0,0,0,0,0,1,£4.4
Willian Borges Da Silva,CHE,MID,114,8,3,1534,0,3,0,0,0,13,6,£7
Willy Caballero,MCI,GK,64,0,0,1452,0,0,31,1,0,1,6,£4.8
Winston Reid,WHU,DEF,102,2,3,2587,1,8,0,0,0,16,9,£4.9
Xherdan Shaqiri,STK,MID,80,4,2,1699,0,2,0,0,0,8,8,£6
Yannick Bolasie,EVE,MID,45,1,4,1048,0,3,0,0,0,3,3,£5.6
Yaya Sanogo,ARS,FWD,0,0,0,0,0,0,0,0,0,0,0,£4.6
Yohan Benalouane,LEI,DEF,27,0,0,917,0,4,0,0,0,0,4,£4
Yohan Cabaye,CRY,MID,91,4,4,2125,0,7,0,0,1,6,7,£5.6
Younes Kaboul,WAT,DEF,57,2,0,1910,0,2,0,0,0,1,4,£4.3
Zachary Dearnley,MUN,MID,0,0,0,0,0,0,0,0,0,0,0,£4.5
Zlatan Ibrahimovic,MUN,FWD,163,17,7,2438,0,7,0,0,1,28,11,£11.4
Álvaro Arbeloa,WHU,DEF,0,0,0,258,0,3,0,0,0,0,0,£4.5
Álvaro Negredo,MID,FWD,130,9,5,2872,0,5,0,0,0,17,10,£6.1
